image,label
Person1/rz/1/1.png,1
Person1/rz/1/1_l1_.png,1
Person1/rz/1/1_l2_.png,1
Person1/rz/1/1_l3_.png,1
Person1/rz/1/1_l4_.png,1
Person1/rz/1/1_l5_.png,1
Person1/rz/1/1_l6_.png,1
Person1/rz/1/1_l7_.png,1
Person1/rz/1/1_l8_.png,1
Person1/rz/1/1_l9_.png,1
Person1/rz/1/1_l10_.png,1
Person1/rz/1/1_l11_.png,1
Person1/rz/1/1_l12_.png,1
Person1/rz/1/1_l13_.png,1
Person1/rz/1/1_l14_.png,1
Person1/rz/1/1_l15_.png,1
Person1/rz/1/1_l16_.png,1
Person1/rz/1/1_l17_.png,1
Person1/rz/1/1_l18_.png,1
Person1/rz/1/1_l19_.png,1
Person1/rz/1/1_l20_.png,1
Person1/rz/1/1_r1_.png,1
Person1/rz/1/1_r2_.png,1
Person1/rz/1/1_r3_.png,1
Person1/rz/1/1_r4_.png,1
Person1/rz/1/1_r5_.png,1
Person1/rz/1/1_r6_.png,1
Person1/rz/1/1_r7_.png,1
Person1/rz/1/1_r8_.png,1
Person1/rz/1/1_r9_.png,1
Person1/rz/1/1_r10_.png,1
Person1/rz/1/1_r11_.png,1
Person1/rz/1/1_r12_.png,1
Person1/rz/1/1_r13_.png,1
Person1/rz/1/1_r14_.png,1
Person1/rz/1/1_r15_.png,1
Person1/rz/1/1_r16_.png,1
Person1/rz/1/1_r17_.png,1
Person1/rz/1/1_r18_.png,1
Person1/rz/1/1_r19_.png,1
Person1/rz/1/1_r20_.png,1
Person1/rz/1/1_u1_.png,1
Person1/rz/1/1_u2_.png,1
Person1/rz/1/1_u3_.png,1
Person1/rz/1/1_u4_.png,1
Person1/rz/1/1_u5_.png,1
Person1/rz/1/1_u6_.png,1
Person1/rz/1/1_u7_.png,1
Person1/rz/1/1_u8_.png,1
Person1/rz/1/1_u9_.png,1
Person1/rz/1/1_u10_.png,1
Person1/rz/1/1_u11_.png,1
Person1/rz/1/1_u12_.png,1
Person1/rz/1/1_u13_.png,1
Person1/rz/1/1_u14_.png,1
Person1/rz/1/1_u15_.png,1
Person1/rz/1/1_u16_.png,1
Person1/rz/1/1_u17_.png,1
Person1/rz/1/1_u18_.png,1
Person1/rz/1/1_u19_.png,1
Person1/rz/1/1_u20_.png,1
Person1/rz/1/1_d1_.png,1
Person1/rz/1/1_d2_.png,1
Person1/rz/1/1_d3_.png,1
Person1/rz/1/1_d4_.png,1
Person1/rz/1/1_d5_.png,1
Person1/rz/1/1_d6_.png,1
Person1/rz/1/1_d7_.png,1
Person1/rz/1/1_d8_.png,1
